run_id	species_name	canonical_name	taxon_id	candidates	scanned_candidates	downloaded	download_failed	accepted	rejected	unused_valid	search_exhausted
20260424-230044	Mulloidichthys flavolineatus	Mulloidichthys flavolineatus	123346	274	274	274	0	60	130	84	False
20260424-230044	Siganus vulpinus	Siganus vulpinus	318323	221	221	221	0	60	58	103	False
20260424-230044	Lutjanus gibbus	Lutjanus gibbus	142704	127	127	127	0	60	67	0	False
20260424-230044	Macolor macularis	Macolor macularis	135281	218	218	218	0	60	60	98	False
20260424-230044	Siganus virgatus	Siganus virgatus	180395	245	245	245	0	60	98	87	False
20260424-230044	Siganus guttatus	Siganus guttatus	180402	262	262	262	0	60	77	125	False
20260424-230044	Siganus puellus	Siganus puellus	135218	250	250	250	0	60	107	83	False
20260424-230044	Lutjanus monostigma	Lutjanus monostigma	121001	117	117	117	0	60	48	9	False
20260424-230044	Mulloidichthys vanicolensis	Mulloidichthys vanicolensis	122682	502	502	502	0	60	401	41	False
20260424-230044	Canthigaster valentini	Canthigaster valentini	129549	128	128	128	0	60	13	55	False
20260424-230044	Caesio caerulaurea	Caesio caerulaurea	96400	249	249	249	0	60	181	8	False
20260424-230044	Plectorhinchus polytaenia	Plectorhinchus polytaenia	135279	120	120	120	0	60	48	12	False
20260424-230044	Arothron hispidus	Arothron hispidus	144017	148	148	148	0	60	26	62	False
20260424-230044	Lutjanus bengalensis	Lutjanus bengalensis	447971	201	201	201	0	36	165	0	True
20260424-230044	Arothron nigropunctatus	Arothron nigropunctatus	119385	142	142	142	0	60	24	58	False
20260424-230044	Arothron manilensis	Arothron manilensis	196935	132	132	132	0	60	45	27	False
20260424-230044	Plectorhinchus chaetodonoides	Plectorhinchus chaetodonoides	122002	147	147	147	0	60	78	9	False
20260424-230044	Plectorhinchus vittatus	Plectorhinchus vittatus	120999	259	259	259	0	60	92	107	False
20260424-230044	Canthigaster compressa	Canthigaster compressa	196943	118	118	118	0	60	14	44	False
20260424-230044	Arothron caeruleopunctatus	Arothron caeruleopunctatus	153278	127	127	127	0	60	14	53	False
20260424-230044	Canthigaster bennetti	Canthigaster bennetti	196933	133	133	133	0	60	22	51	False
20260424-230044	Canthigaster papua	Canthigaster papua	196932	124	124	124	0	60	9	55	False
20260424-230044	Pterocaesio tile	Pterocaesio tile	183187	388	388	388	0	60	254	74	False
20260425-225723	centropyge bicolor	Centropyge bicolor	96939	116	116	116	0	60	36	20	False
20260425-225723	pomacanthus imperator	Pomacanthus imperator	84181	140	140	140	0	60	32	48	False
20260425-225723	lutjanus bengalensis	Lutjanus bengalensis	447971	201	201	201	0	31	170	0	True
20260425-225723	cephalopholis sonnerati	Cephalopholis sonnerati	97004	285	285	285	0	60	87	138	False
20260425-230435	lutjanus bengalensis	Lutjanus bengalensis	447971	201	201	201	0	31	170	0	True
20260425-231722	lutjanus bengalensis	Lutjanus bengalensis	447971	201	201	201	0	60	79	62	False
